R,Prev_hsic,OpPr,PrevClPr,Prev_HiPr,Prev_LoPr,Prev_TrdVol
0,-0.01,98,99.5,101,99.25,1981772
1,-0.02,102,98.25,98.75,97.5,2856315
0,0.04,104.5,104,104.5,101.5,8335675
0,0.01,102.5,104,105.5,103.5,9783708
0,0,103.5,103.5,105.5,102,6098241
0,0,102.5,103,105,102.5,5164004
0,0,102.5,103,104.5,101,4225182
1,-0.02,100,99,103.5,98.75,4427922
0,0.01,101,101.5,102,100,2791988
1,0,101.5,101.5,102.5,99.75,3803500
0,0,103.5,103,103.5,101,2367178
1,-0.01,103.5,103,104,102,3698000
1,0.02,105,104.5,104.5,103,3742100
0,0.03,104.5,105,106.5,104,6587877
0,0.01,104.5,104.5,106,103,5746586
0,0,104,102.5,104.5,102,3410840
0,0,103,102.5,104,102,4918567
1,-0.01,101,100.5,103.5,100,5752940
0,0.01,102,103.5,103.5,100.5,5869700
0,0,104,103.5,104,102,4478936
0,-0.01,101,102,104,101.5,2910662
0,-0.02,103.5,102,103,101,3103880
1,0.01,102,102,103.5,101.5,3090190
0,0.01,101.5,102.5,103,102,3194200
0,-0.01,100.5,101.5,102,100.5,2959300
0,0,99.5,100,101.5,100,2607090
1,-0.01,99.25,98.25,99.75,97.75,6496800
1,0.01,99,99,100.5,98,4630400
0,0,98.75,99.5,100.5,98.25,5096377
0,-0.01,98,98,99,97.5,4020400
1,-0.01,97.5,97.5,98.5,97.25,3351100
0,-0.01,98.5,98,98.5,97.25,3331000
0,0,97.5,97.75,98.5,96.75,2160000
0,-0.01,96,97.75,97.75,96.25,2606700
0,-0.02,95,95.25,96.5,94.75,5171154
1,0.01,94,94,95,93,7005243
0,0,94,94.5,94.75,93.75,4903900
1,-0.03,92,92.75,95.25,92.5,6415100
0,0,94,94.5,95,91.5,5808913
0,-0.03,92.25,92,94,91.75,4282455
1,-0.03,88.5,88.25,92.25,88,7967000
1,0.01,90.25,89,89.75,87.75,4712300
0,0.01,93,92.75,93.25,89.75,6820478
1,-0.01,92.5,92.5,93.75,91.75,4982051
0,0,92.75,92.75,93.25,91,2987510
0,0,90,92,93.25,91.75,1421730
0,-0.03,85,89,90,88.75,5515960
0,-0.02,89,88,88.25,85,3885400
1,-0.01,85,87.25,89.75,86.75,4280691
0,0.01,90,90,90.5,85,4096901
1,0,87.5,88.75,90,88.5,2220840
0,0,89.5,89.5,90,87.25,2950300
0,-0.02,86,87,90,86.75,4056000
0,-0.01,85,86.25,87.5,84.75,6534170
0,-0.04,81.5,82.25,85,81.75,4892250
1,0,81.5,80.5,82.75,79.5,11295591
0,0.03,82.25,81.75,82.25,80.75,7919419
1,-0.02,80,78.75,82.5,78.5,5377800
1,0.01,78.25,79.5,81.25,79,6777800
1,-0.01,80.75,80,81.25,77.75,5501564
1,0.01,82,81.75,82,80,3815818
1,0,81,82.25,82.5,80.25,5368550
0,-0.01,81,82.5,82.75,80.75,2774465
0,-0.04,83,80.5,81.25,80.25,7312610
0,0.03,80,80,83.25,79.75,6222071
0,-0.01,77.75,77.75,80,76.75,3505296
1,0,78,76.25,78.5,75.75,4561000
1,0.04,79.25,79,79.25,77.25,5385138
0,0.02,80.5,81.5,81.75,79,4254485
1,-0.03,82,80.75,81.75,80.25,2739129
1,0.03,85.25,82.5,82.75,81.75,4325200
0,0.04,86.5,87.5,87.75,85.25,9696600
1,-0.01,86,86,87.25,85.75,4268194
0,-0.01,86.5,87,88,85.25,3197700
0,0,87,87,87.25,86,3044880
0,0,87,86.25,87,85.25,4158901
1,0,85.75,86.25,87,85.25,3713464
1,0.01,88,87,88,84.75,4122244
1,0.03,90,89.25,90,88,5668976
0,-0.01,89,89.5,90,89,3306418
1,-0.02,89.5,88.5,89.5,88,3990354
0,0.02,90.75,91.5,91.5,89.5,4919016
1,0,90.75,90.75,91.75,90,2604601
1,0,91.25,91.25,91.75,90,3727130
1,0,91.75,92.75,92.75,91,4724047
0,0,92,93.25,94,91.75,5665383
0,-0.03,89.75,89.53,92.25,90.75,3122198
1,0,91,90.5,91,89.5,3933220
1,0.01,92.75,90.75,91.75,90.5,3247416
0,0.02,92.5,92.5,93.5,92.5,3765266
1,-0.01,92.5,92.5,93.5,92.25,4794305
0,0.02,93.5,93,93,92,4925438
0,0.01,92.5,92.75,93.5,92.5,3361586
1,0,91.25,92,93,91.5,3783448
0,0,94.25,94,94.25,91.25,4800814
0,0,92.5,92.5,94.25,91.5,2657750
0,0,92.25,92.5,92.75,92.25,2032000
0,-0.01,89.75,90.25,92.25,90,3331000
0,-0.02,87.5,88,89.75,87.25,4412310
1,-0.02,84.75,85,87.5,84.75,9759300
1,0,86.25,86,87.25,84.75,5253687
1,0.01,88,86.25,87,86,3043900
1,0.02,88.75,88.25,88.75,85.25,3676200
1,0.01,89.5,90,90.75,88.75,5587778
0,0.01,91.5,91,91,89.5,3619790
0,0.01,90,90.25,92.5,89,5301956
0,-0.01,88.75,88.75,90.5,88.5,3137574
0,-0.01,88,88.5,88.75,87.25,3003900
0,0,87,87.25,90,87,3477307
0,-0.02,85.5,86.25,87.5,85.75,3280184
0,-0.01,85.75,85.75,86,84.5,4885250
0,-0.01,86,85.5,86.25,85.25,2712000
0,0.01,85,85,86,83.5,3958170
1,-0.02,85.5,84.75,85.25,84,2509250
0,0.02,87.5,87.25,87.5,85,4002625
0,0,85,85.5,87.5,85.25,4913432
0,-0.02,85,85,85.5,84,3508670
0,0,84,83.75,85,83.75,3201582
1,-0.01,83.75,82.5,84,82.25,4272205
0,0.02,86,85,85.25,83.75,5012670
0,0.01,85,85,86,84.75,3996162
0,0,84.25,84.75,85,83.5,3847600
0,-0.02,81,83,84.75,82.75,4414617
0,-0.02,83,82.5,82.5,80.25,5289297
0,0,81.5,82.5,83.25,81.75,1931336
0,-0.01,81,81,82,80.5,3751110
0,0.01,82,81,82.25,80.5,4222269
0,0,81.25,80.75,82,80,3812891
0,0,79.5,80.25,81.5,80,2468682
1,-0.01,80.5,80.25,81.5,79.5,3427000
0,-0.01,80,80.75,81,80,2736800
1,-0.01,79.25,79.25,80.75,79,4070770
0,0,79,79.5,79.75,79,1885715
0,-0.01,79.5,79.5,79.75,79,1962100
0,0,78.5,78.5,79.5,78,2959478
0,-0.01,76.5,75.75,78.75,75,6271800
0,0.01,75,75.5,76.5,74.75,3405220
1,-0.01,75.25,74.75,75.25,73.5,4786170
1,0.02,78,77.25,77.25,75.25,3462164
0,0.01,80,79.75,80,77.5,5258749
0,0,79.25,79.25,80,78.75,2879954
0,-0.02,77.75,78,80.5,78,4336005
0,-0.01,78.25,78,78.5,77.75,2058684
0,-0.01,75.25,75.5,78.25,75.25,4170253
0,0,71.5,73.5,76.5,73.5,4253200
0,-0.02,71,70.5,72.5,69,11239100
0,0,70.5,70.25,71,69.75,4862667
1,-0.01,68,67.5,70.5,67.25,7021800
1,0.03,70,70,70.25,67.5,7004565
0,0.01,70.25,71,71,69.25,4835100
1,-0.03,70,70.25,72,70,6448910
0,-0.01,71,72,72.25,69.75,4478950
0,-0.03,70.25,69.5,71,69.25,6029000
0,0,67.75,68.5,70.25,67.5,5638103
1,-0.02,68.5,67.5,70.5,67.25,6562500
1,0.01,69.5,68.75,70,68,6205471
1,-0.02,72,70.5,72,69,8877004
1,0.01,71.5,71.75,72.5,71.5,4646853
