R,ClPr,Prev_hsic,OpPr,Prev_HiPr,Prev_LoPr,Prev_TrdVol
1,98.25,-0.01,98,101,99.25,1981772
1,104,-0.02,102,98.75,97.5,2856315
1,104,0.04,104.5,104.5,101.5,8335675
1,103.5,0.01,102.5,105.5,103.5,9783708
1,103,0.00,103.5,105.5,102,6098241
1,103,0.00,102.5,105,102.5,5164004
1,99,0.00,102.5,104.5,101,4225182
1,101.5,-0.02,100,103.5,98.75,4427922
1,101.5,0.01,101,102,100,2791988
1,103,0.00,101.5,102.5,99.75,3803500
1,103,0.00,103.5,103.5,101,2367178
1,104.5,-0.01,103.5,104,102,3698000
1,105,0.02,105,104.5,103,3742100
1,104.5,0.03,104.5,106.5,104,6587877
1,102.5,0.01,104.5,106,103,5746586
1,102.5,0.00,104,104.5,102,3410840
1,103.5,-0.01,101,103.5,100,5752940
1,103.5,0.01,102,103.5,100.5,5869700
1,102,0.00,104,104,102,4478936
1,102,-0.01,101,104,101.5,2910662
1,102,-0.02,103.5,103,101,3103880
1,102.5,0.01,102,103.5,101.5,3090190
1,101.5,0.01,101.5,103,102,3194200
1,100,-0.01,100.5,102,100.5,2959300
1,98.25,0.00,99.5,101.5,100,2607090
1,99,-0.01,99.25,99.75,97.75,6496800
1,99.5,0.01,99,100.5,98,4630400
1,98,0.00,98.75,100.5,98.25,5096377
1,97.5,-0.01,98,99,97.5,4020400
1,98,-0.01,97.5,98.5,97.25,3351100
1,97.75,-0.01,98.5,98.5,97.25,3331000
1,97.75,0.00,97.5,98.5,96.75,2160000
1,95.25,-0.01,96,97.75,96.25,2606700
1,94,-0.02,95,96.5,94.75,5171154
1,94.5,0.01,94,95,93,7005243
1,92.75,0.00,94,94.75,93.75,4903900
1,94.5,-0.03,92,95.25,92.5,6415100
1,92,0.00,94,95,91.5,5808913
1,88.25,-0.03,92.25,94,91.75,4282455
1,89,-0.03,88.5,92.25,88,7967000
1,92.75,0.01,90.25,89.75,87.75,4712300
1,92.5,0.01,93,93.25,89.75,6820478
1,92.75,-0.01,92.5,93.75,91.75,4982051
1,92,0.00,92.75,93.25,91,2987510
1,89,0.00,90,93.25,91.75,1421730
1,88,-0.03,85,90,88.75,5515960
1,87.25,-0.02,89,88.25,85,3885400
1,90,-0.01,85,89.75,86.75,4280691
1,88.75,0.01,90,90.5,85,4096901
1,89.5,0.00,87.5,90,88.5,2220840
1,87,0.00,89.5,90,87.25,2950300
1,86.25,-0.02,86,90,86.75,4056000
1,82.25,-0.01,85,87.5,84.75,6534170
1,80.5,-0.04,81.5,85,81.75,4892250
1,81.75,0.00,81.5,82.75,79.5,11295591
1,78.75,0.03,82.25,82.25,80.75,7919419
1,79.5,-0.02,80,82.5,78.5,5377800
1,80,0.01,78.25,81.25,79,6777800
1,81.75,-0.01,80.75,81.25,77.75,5501564
1,82.25,0.01,82,82,80,3815818
1,82.5,0.00,81,82.5,80.25,5368550
1,80.5,-0.01,81,82.75,80.75,2774465
1,80,-0.04,83,81.25,80.25,7312610
1,77.75,0.03,80,83.25,79.75,6222071
1,76.25,-0.01,77.75,80,76.75,3505296
1,79,0.00,78,78.5,75.75,4561000
1,81.5,0.04,79.25,79.25,77.25,5385138
1,80.75,0.02,80.5,81.75,79,4254485
1,82.5,-0.03,82,81.75,80.25,2739129
1,87.5,0.03,85.25,82.75,81.75,4325200
1,86,0.04,86.5,87.75,85.25,9696600
1,87,-0.01,86,87.25,85.75,4268194
1,87,-0.01,86.5,88,85.25,3197700
1,86.25,0.00,87,87.25,86,3044880
1,86.25,0.00,87,87,85.25,4158901
1,87,0.00,85.75,87,85.25,3713464
1,89.25,0.01,88,88,84.75,4122244
1,89.5,0.03,90,90,88,5668976
1,88.5,-0.01,89,90,89,3306418
1,91.5,-0.02,89.5,89.5,88,3990354
1,90.75,0.02,90.75,91.5,89.5,4919016
1,91.25,0.00,90.75,91.75,90,2604601
1,92.75,0.00,91.25,91.75,90,3727130
1,93.25,0.00,91.75,92.75,91,4724047
1,90.75,0.00,92,94,91.75,5665383
1,90.5,-0.03,89.75,92.25,90.75,3122198
1,90.75,0.00,91,91,89.5,3933220
1,92.5,0.01,92.75,91.75,90.5,3247416
1,92.5,0.02,92.5,93.5,92.5,3765266
1,93,-0.01,92.5,93.5,92.25,4794305
1,92.75,0.02,93.5,93,92,4925438
1,92,0.01,92.5,93.5,92.5,3361586
1,94,0.00,91.25,93,91.5,3783448
1,92.5,0.00,94.25,94.25,91.25,4800814
1,92.5,0.00,92.5,94.25,91.5,2657750
