R,OPEN,pre_HIGH,pre_LOW,prev_VOLUME
0,178.29,179.48,178.285,1594245
0,178.88,179.1444,178.03,1101983
1,178.66,179.45,178.02,1287918
0,179.09,179.2,178.57,651000
1,178.8899,179.29,178.53,731194
0,178.6,179.46,177.98,1225630
1,178.34,179.53,178.42,1556047
0,177.61,179.33,178.06,1378216
0,176.56,178.67,177.32,1381974
0,177.26,178.5,176.55,3889730
1,179.16,177.5771,175.051,2055610
1,179.57,179.39,176.41,2234172
1,178.25,180.06,176.77,2708604
0,175.36,179.81,177.57,2295986
0,176.08,178.87,175.3,2650644
1,172.38,176.35,174.77,1788382
0,171.82,176.06,171.97,3164316
0,172.63,172.03,171.23,1467548
1,172.53,172.95,171.085,2181327
1,171.64,173.69,172.24,1871524
0,172.2,172.74,171.45,1756890
1,172.54,173.19,171.59,2595787
0,173.56,173.29,172.1453,1483189
1,172.21,173.77,172.275,1677696
0,172.08,173.99,172.21,945845
0,171.67,172.75,171.76,1477958
0,171.42,172.08,171.28,1553303
1,172.51,171.98,170.72,1993936
0,172.01,173.28,172.29,1711068
0,173.13,173.25,172.01,1783744
1,173.16,173.23,171.57,2022623
0,175.23,174.25,171.91,2177504
1,174.05,175.51,171.9,2607032
0,170.16,175.13,173.73,1868162
0,165.84,174.67,169.79,3280034
1,169.9,171,165.84,3659314
0,168.15,172.05,169.78,1956187
0,167.21,169.89,167.9795,1930929
1,166.14,167.8501,166.42,1927527
0,164.7,167.64,165.26,2504984
0,165.4,166.37,163.91,2233414
1,166.46,165.81,163.85,2455784
1,166.55,166.54,165.18,2289132
0,166.87,167.18,165.14,1934281
1,165.69,166.95,165.28,1486376
0,169.47,167.79,165.41,2174852
1,172.65,169.89,165.11,3826056
0,168.11,173.4355,170.9,2668093
1,169.57,169.56,167.72,2013555
1,170.8,170.34,168.99,1210539
1,171.68,170.94,169.66,1164213
1,170.54,171.91,169.84,1185565
1,170.99,171.09,169.94,1229184
0,168.87,171.39,170.3,1512366
0,169.6,170.31,168.46,1919715
0,170.24,170.18,168.89,1554146
1,171.84,170.47,168.69,1998576
1,171.9,172.7497,170.94,1936639
1,171.93,171.94,170.041,2249588
1,171.66,172.32,170.6011,2273400
0,174.59,172.56,171.34,2305546
1,175.33,174.97,171.2,3166931
1,176.58,175.95,174.4,1785551
0,177.478,177.15,176.09,2419430
1,176.78,177.63,174.87,1853613
0,175.61,177.98,176.69,1693951
0,176.85,177.03,175.5801,2433570
1,179.4,176.91,175.8,1820997
1,179.83,179.7,177.19,1910978
0,177.88,181.66,179.65,1849004
0,177.71,179.8,177.5,1759977
0,176.05,178.4997,177.33,1598552
0,175.88,177.95,176.05,1754929
1,175.53,175.95,174.385,3358842
0,175.96,177,175.36,1683788
1,176.83,177.35,175.2,1864794
1,175,177.6,175.95,1864569
0,178.89,178.4,174.686,1913291
1,179.19,179,175.64,2083300
0,180.04,180.21,178.94,1423980
1,180.56,180.54,179.5401,1133540
1,180.53,181.28,179.88,1328106
0,179.31,181.49,180.09,1319039
0,179.49,180.17,178.8,1095268
1,180.72,179.765,178.58,1635998
1,179.86,181.02,179.59,1039808
0,180.19,180.7,179.28,1051806
1,179.09,181.25,178.92,1324652
0,179.41,180.318,179.05,840199
1,179.61,179.9637,179.01,1137075
0,179.18,180.54,179.28,1195825
1,178.66,179.59,178.37,1336377
0,179.7,179.78,178.08,1305289
1,178.67,179.7,178.58,1088677
0,180.12,180.09,178.32,1358528
1,181,180.33,179.21,1363554
0,181.47,181.39,180.46,1268247
1,179.08,181.47,179.9,1232856
0,178.12,181.1,178.88,2043437
0,178.37,178.85,177.85,1226260
1,178.9,178.9,177.94,1098851
0,178.25,179.02,178.27,1327693
0,178.96,179.0099,177.37,1799474
1,178.72,179.42,177.64,1072341
0,178.58,179.13,177.97,1419250
0,177.08,178.62,177.24,2115083
1,178.11,178.54,177.08,1598351
0,177.65,178.8229,177.62,1621915
1,177.41,178.37,177.03,1799475
0,177.17,178.94,177.41,2359679
1,180.2,178.99,176.14,3421578
1,180.42,180.42,178.92,1936896
0,181.29,180.53,179.36,1205590
1,181.73,181.56,179.7,1939921
0,181.11,182.27,181.32,1413320
0,181.44,181.65,180.29,1051302
1,181.5,181.7,180.75,1224381
0,180.15,181.84,180.56,2475143
0,179.22,181.32,179.88,1904057
0,178.75,179.67,178.69,1491437
0,177.41,179.63,178.03,1922623
0,175.87,178.47,177.19,1659485
0,175.09,177.7925,175.82,2726594
1,175.2,175.64,174.1301,1842372
1,174.86,175.47,174.06,2383261
0,175.14,175.78,173.51,2353554
0,172.06,176.08,174.91,1930869
0,171.02,175.14,172.06,2449398
0,168.14,171.85,170.36,1894081
0,167.78,169.67,167.96,2237274
1,168.87,167.83,165.16,2556446
1,172.71,171.54,168.4,4567121
0,171.83,174.15,172.46,2021545
1,171.18,172.6,170.99,1369603
0,170.9,171.97,171.06,1889260
0,169.99,172.799,170.53,2162785
1,167.35,170,168.42,3447960
0,167.95,170.39,166.62,2632136
0,167.29,168.8583,167.47,1694233
