R,ClPr,OPEN,pre_HIGH,pre_LOW,prev_VOLUME,SMA5,SMA10,SMA30
0,174.24,173.16,173.23,171.57,2022623,172.234,172.392,175.332
0,172.91,175.23,174.25,171.91,2177504,172.7,172.642,175.193
0,175.08,174.05,175.51,171.9,2607032,172.978,172.656,175.0206667
0,174.28,170.16,175.13,173.73,1868162,173.402,172.914,174.8926667
0,170.39,165.84,174.67,169.79,3280034,173.704,172.993,174.7436667
0,171.03,169.9,171,165.84,3659314,173.38,172.807,174.45
0,169.74,168.15,172.05,169.78,1956187,172.738,172.719,174.2033333
0,166.48,167.21,169.89,167.9795,1930929,172.104,172.541,173.9063333
0,166.83,166.14,167.8501,166.42,1927527,170.384,171.893,173.517
0,165.73,164.7,167.64,165.26,2504984,168.894,171.299,173.163
0,164.25,165.4,166.37,163.91,2233414,167.962,170.671,172.82
0,165.3,166.46,165.81,163.85,2455784,166.606,169.672,172.4083333
0,165.77,166.55,166.54,165.18,2289132,165.718,168.911,171.9573333
0,165.76,166.87,167.18,165.14,1934281,165.576,167.98,171.495
0,166.51,165.69,166.95,165.28,1486376,165.362,167.128,171.0706667
0,166.23,169.47,167.79,165.41,2174852,165.518,166.74,170.7583333
0,171.27,172.65,169.89,165.11,3826056,165.914,166.26,170.431
0,169.5,168.11,173.4355,170.9,2668093,167.108,166.413,170.4133333
0,169.86,169.57,169.56,167.72,2013555,167.854,166.715,170.3426667
0,169.91,170.8,170.34,168.99,1210539,168.674,167.018,170.257
0,169.95,171.68,170.94,169.66,1164213,169.354,167.436,170.1663333
0,170.21,170.54,171.91,169.84,1185565,170.098,168.006,170.1066667
0,170.33,170.99,171.09,169.94,1229184,169.886,168.497,170.0213333
0,170.02,168.87,171.39,170.3,1512366,170.052,168.953,169.949
0,169.72,169.6,170.31,168.46,1919715,170.084,169.379,169.8333333
0,169.68,170.24,170.18,168.89,1554146,170.046,169.7,169.749
0,171.14,171.84,170.47,168.69,1998576,169.992,170.045,169.6746667
0,171.33,171.9,172.7497,170.94,1936639,170.178,170.032,169.662
0,171.64,171.93,171.94,170.041,2249588,170.378,170.215,169.6076667
0,172.39,171.66,172.32,170.6011,2273400,170.702,170.393,169.57
0,171.68,174.59,172.56,171.34,2305546,171.236,170.641,169.5826667
0,175.04,175.33,174.97,171.2,3166931,171.636,170.814,169.4973333
0,176.23,176.58,175.95,174.4,1785551,172.416,171.297,169.5683333
0,175.37,177.478,177.15,176.09,2419430,173.396,171.887,169.6066667
0,177.59,176.78,177.63,174.87,1853613,174.142,172.422,169.643
0,176.3,175.61,177.98,176.69,1693951,175.182,173.209,169.883
0,175.95,176.85,177.03,175.5801,2433570,176.106,173.871,170.0586667
0,177.39,179.4,176.91,175.8,1820997,176.288,174.352,170.2656667
0,179.85,179.83,179.7,177.19,1910978,176.52,174.958,170.6293333
0,179.59,177.88,181.66,179.65,1849004,177.416,175.779,171.0633333
0,177.6,177.71,179.8,177.5,1759977,177.816,176.499,171.5253333
0,176.72,176.05,178.4997,177.33,1598552,178.076,177.091,171.9703333
0,175.06,175.88,177.95,176.05,1754929,178.23,177.259,172.351
0,176.59,175.53,175.95,174.385,3358842,177.764,177.142,172.6606667
0,175.62,175.96,177,175.36,1683788,177.112,177.264,173.0216667
0,176.07,176.83,177.35,175.2,1864794,176.318,177.067,173.3253333
0,178.1,175,177.6,175.95,1864569,176.012,177.044,173.6533333
0,175.64,178.89,178.4,174.686,1913291,176.288,177.259,173.881
0,180.1,179.19,179,175.64,2083300,176.404,177.084,174.0856667
0,179.75,180.04,180.21,178.94,1423980,177.106,177.109,174.427
0,180.46,180.56,180.54,179.5401,1133540,177.932,177.125,174.755
0,180.81,180.53,181.28,179.88,1328106,178.81,177.411,175.1053333
0,179.98,179.31,181.49,180.09,1319039,179.352,177.82,175.4586667
0,179.24,179.49,180.17,178.8,1095268,180.22,178.312,175.7803333
0,180.15,180.72,179.765,178.58,1635998,180.048,178.577,176.0876667
0,180.5,179.86,181.02,179.59,1039808,180.128,179.03,176.4353333
0,179.41,180.19,180.7,179.28,1051806,180.136,179.473,176.796
0,179.58,179.09,181.25,178.92,1324652,179.856,179.604,177.0716667
0,179.41,179.41,180.318,179.05,840199,179.776,179.998,177.3466667
0,179.77,179.61,179.9637,179.01,1137075,179.81,179.929,177.6056667
0,179.07,179.18,180.54,179.28,1195825,179.734,179.931,177.8516667
0,179.61,178.66,179.59,178.37,1336377,179.448,179.792,178.098
0,179.18,179.7,179.78,178.08,1305289,179.488,179.672,178.2503333
0,179.87,178.67,179.7,178.58,1088677,179.408,179.592,178.3486667
0,179.25,180.12,180.09,178.32,1358528,179.5,179.655,178.4986667
0,180.56,181,180.33,179.21,1363554,179.396,179.565,178.554
0,180.27,181.47,181.39,180.46,1268247,179.694,179.571,178.696
0,181,179.08,181.47,179.9,1232856,179.826,179.657,178.84
0,178.82,178.12,181.1,178.88,2043437,180.19,179.799,178.9603333
0,178.39,178.37,178.85,177.85,1226260,179.98,179.74,178.926
0,178.58,178.9,178.9,177.94,1098851,179.808,179.602,178.886
0,178.57,178.25,179.02,178.27,1327693,179.412,179.553,178.9186667
0,177.81,178.96,179.0099,177.37,1799474,179.072,179.449,178.9803333
0,178.38,178.72,179.42,177.64,1072341,178.434,179.312,179.072
0,178.36,178.58,179.13,177.97,1419250,178.346,179.163,179.1316667
0,178.29,177.08,178.62,177.24,2115083,178.34,179.074,179.223
0,178.36,178.11,178.54,177.08,1598351,178.282,178.847,179.297
0,177.98,177.65,178.8229,177.62,1621915,178.24,178.656,179.3056667
0,178.27,177.41,178.37,177.03,1799475,178.274,178.354,179.3836667
0,177.66,177.17,178.94,177.41,2359679,178.252,178.299,179.3226667
0,179.63,180.2,178.99,176.14,3421578,178.112,178.226,179.253
