ClPr,OPEN,prev_HIGH,prev_LOW,prev_VOLUME,2dayprice_change,SMA5,SMA10,SMA20
175.17,175.17,175.46,173.81,1845467,-2.74,176.254,177.141,177.3775
174.18,174.13,175.8,174.3,2272854,-2.08,175.942,176.809,177.2335
175.04,174.02,174.775,173.55,3106798,-0.61,175.414,176.359,177.0265
175.1,174.12,175.3,173.85,2820960,-1.15,174.926,176.014,176.893
175.76,176.08,176.2,173.9,1622756,-0.01,174.862,175.673,176.7365
177.07,175.62,176.4,175.1539,1247189,2.06,175.05,175.652,176.661
178.18,176.87,177.6,175.49,2145683,1.5,175.43,175.686,176.6855
179,178.3,178.55,176.87,2009742,0.79,176.23,175.822,176.7
181.02,179.86,179.58,178.19,1392438,2.68,177.022,175.974,176.778
181.6,180.86,181.38,179.26,1929821,2.99,178.206,176.534,176.9595
181.7,180.3,182,180.65,2036188,2.56,179.374,177.212,177.1765
183.41,181.75,181.833,180.1509,1762914,0.44,180.3,177.865,177.337
182.95,183.43,183.46,181.615,2164045,0.89,181.346,178.788,177.5735
183.37,182.79,183.6,182.53,1961456,3.13,182.136,179.579,177.7965
186.04,183.4,183.62,182.04,1736345,1.04,182.606,180.406,178.0395
187.19,185.91,186.12,183.08,2850946,-0.03,183.494,181.434,178.543
187.41,186.82,187.455,185.71,2401641,3.12,184.592,182.446,179.066
186.91,187.5,188.41,186.3,2126138,3.42,185.392,183.369,179.5955
186.35,186.73,187.55,186.375,1393808,1.59,186.184,184.16,180.067
189.86,188.08,187.5,186.31,1932120,-0.09,186.78,184.693,180.6135
189.89,189.46,190.54,188.01,2226206,0.58,187.544,185.519,181.3655
189.31,189.85,190.1,189.03,1763962,2.73,188.084,186.338,182.1015
188.9,188.93,190.24,188.54,1627706,1.77,188.464,186.928,182.858
189.09,188.29,189.24,188.27,1668743,-0.53,188.862,187.523,183.551
189.51,189.72,189.26,188.25,1661986,-1.56,189.41,188.095,184.2505
189.9,189.25,190.2061,188.97,1565272,0.79,189.34,188.442,184.938
191.21,190.64,190.3899,189.17,1556675,0.96,189.342,188.713,185.5795
191.52,191.77,191.24,190.0312,2514991,0.92,189.722,189.093,186.231
190.33,190.93,191.96,190.46,1972733,2.52,190.246,189.554,186.857
191.2,190.18,191.44,189.11,1893619,0.29,190.494,189.952,187.3225
190.31,191.06,191.86,189.72,2046978,-1.59,190.832,190.086,187.8025
192.36,190.82,191.64,189.6379,1937139,0.13,190.914,190.128,188.233
193.01,192.52,192.36,190.35,4228102,0.64,191.144,190.433,188.6805
192.13,193.49,193.5,192.28,2085593,1.46,191.442,190.844,189.1835
192.22,192.3,193.49,191.51,1895059,2.67,191.802,191.148,189.6215
192.14,192.12,192.88,190.46,1627326,-0.22,192.006,191.419,189.9305
191.51,192.12,192.97,191.23,1481951,-1.37,192.372,191.643,190.178
190.43,190.7,192.62,190.901,1435374,-0.18,192.202,191.673,190.383
190.99,189.94,191,189.16,1984622,-1.42,191.686,191.564,190.559
190.68,190.59,191.49,189.6,2330159,-2.18,191.458,191.63,190.791
191.28,190.74,191.28,190.26,1692204,-0.11,191.15,191.578,190.832
191.33,191.3,191.49,190.1,1835414,0.8,190.978,191.675,190.9015
190.72,191.87,192.4,190.99,1730048,0.71,190.942,191.572,191.0025
190.19,190.57,192.17,189.95,1546695,1.13,191,191.343,191.0935
190.24,190.7,190.98,189.78,1349899,-0.73,190.84,191.149,191.1485
189.89,190.41,192.42,190.04,1448737,-1.17,190.752,190.951,191.185
189.99,190.03,191.02,189.5,1627375,-0.16,190.474,190.726,191.1845
189.71,190.16,190.56,189.52,1025166,-0.67,190.206,190.574,191.1235
190.07,189.13,190.5156,189.31,1682689,-0.25,190.004,190.502,191.033
189.7,190.31,190.09,188.99,1459582,-0.9,189.98,190.41,191.02
188.65,189.25,190.49,189.4,1416141,0.15,189.872,190.312,190.945
190.36,189.31,189.86,188.62,1274376,0.12,189.624,190.049,190.862
190.22,189.76,190.36,189.29,1543558,-1,189.698,189.952,190.762
189.83,190.8,190.84,189.5052,1176884,0.51,189.8,189.902,190.6225
191.16,190.02,191.13,189.52,1340386,1.49,189.752,189.866,190.5075
191.5,191.15,192.11,189.904,1748179,0.26,190.044,189.958,190.4545
194.23,193,191.62,190.59,2584194,0.35,190.614,190.119,190.4225
195.13,193.99,194.45,192.93,2709554,2.98,191.388,190.543,190.5585
195,195.7,195.61,192.36,4182229,2.84,192.37,191.085,190.7935
196.11,195.43,196.9,194.99,2641226,2.7,193.404,191.578,190.994
195.83,196.15,196.54,195.11,1770896,1.44,194.394,192.219,191.2655
194.81,195.5,197.12,195.54,2467076,0.45,195.26,192.937,191.493
196.53,195.16,195.73,194.471,1498630,0.07,195.376,193.382,191.667
197.63,196.6,196.53,194.58,2467164,-0.99,195.656,194.013,191.9575
199.51,198.3,197.87,195.71,2339647,1.1,196.182,194.793,192.3295
199.4,199.67,199.54,197.76,2321297,3.14,196.862,195.628,192.793
198.65,198.84,199.9,198.98,1688558,3.07,197.576,196.418,193.2685
197.96,199.36,199.15,198.3,1576134,0.54,198.344,196.86,193.7015
196.64,197.37,199.36,197.53,1747761,-0.31,198.63,197.143,194.114
196.75,196.04,197.59,196.53,2248260,-1.47,198.432,197.307,194.4425
196.57,195.9,196.94,195.26,1704992,-3.32,197.88,197.371,194.795
197.63,196.67,197.12,195.86,1323128,-1.47,197.314,197.445,195.191
197.91,197.48,197.74,196.23,1466690,0.63,197.11,197.727,195.5545
194.84,195.39,197.94,196.86,1183560,1.58,197.1,197.865,195.939
195.24,194.5,195.91,194.72,1881826,-1.28,196.74,197.586,196.1895
195.8,196.3,195.82,193.54,1928994,-2.98,196.438,197.159,196.3935
198.51,196.35,196.3,194.45,1894690,0.91,196.284,196.799,196.6085
197.73,198.73,198.672,196.35,1836024,1.85,196.46,196.785,196.8225
197.49,198.49,198.97,197.52,1514199,2.43,196.424,196.762,196.9525
199.54,198.41,198.53,197.28,1291463,2.14,196.954,196.847,197.077
200.67,199.14,199.61,197.75,1508025,-0.32,197.814,197.126,197.2485
202.44,200.31,200.69,198.9722,1410620,0.65,198.788,197.536,197.4905
204.47,202.73,203.03,199.96,2171094,1.9,199.574,198.017,197.872
204.35,204.25,204.47,202.27,3096767,3.59,200.922,198.673,198.269
206.7,205.06,204.9,203.68,2352733,3.94,202.294,199.624,198.605
206.22,206.77,207.39,204.79,1831928,2.33,203.726,200.77,198.9645
205.41,206.01,207.33,206.22,1253148,2.52,204.836,201.812,199.3055
205.01,205.73,206.66,205.41,1458772,0.95,205.43,202.502,199.6435
205.94,204.84,205.87,204.1,1885635,-1.04,205.538,203.23,199.996
206.93,206,206.03,204.09,2451348,-1.17,205.856,204.075,200.461
207.39,207.06,206.97,205.64,1893492,0.27,205.902,204.814,200.97
209.11,207.58,208.42,205.5,2388199,2.22,206.136,205.486,201.511
210.01,209.78,209.665,207.559,1688785,1.58,206.876,206.153,202.085
211.29,209.5,210.785,209.53,1585193,2.72,207.876,206.707,202.69
213.24,211.73,211.32,209.44,1594060,1.92,208.946,207.401,203.5125
213.36,214,213.46,211.44,3420608,1.95,210.208,208.055,204.4125
213.36,213.45,214,212.7,1667639,4.5,211.402,208.769,205.2905
212.86,214.02,214.57,213.05,1531242,1.72,212.252,209.564,206.033
212.22,212.73,214.02,212.09,1812903,0.02,212.822,210.349,206.7895
212.9,212,213.12,212.09,1400401,-0.72,213.008,210.977,207.526
212.61,212.79,213.17,211.71,1584876,-2.02,212.94,211.574,208.194
209.78,212,213.47,212.31,1352092,0.06,212.79,212.096,208.791
210.62,210.78,212.5,209.38,2240166,0,212.074,212.163,209.158
207.85,211.05,211.175,210.09,1542943,-2.01,211.626,212.224,209.4655
208.19,209.91,211.05,207.08,1809919,-0.95,210.752,211.88,209.6405
209.83,209.14,209.91,207.85,1769958,-0.87,209.81,211.375,209.715
209.76,210,210.34,208.75,1040334,-1.91,209.254,211.022,209.8955
208.02,209.05,210.24,209.41,1065328,0.09,209.25,210.662,210.113
209.59,208.5,209.72,207.89,1189853,-0.09,208.73,210.178,210.2635
210.49,209.6,210.15,208.045,1531004,-1.5,209.078,209.915,210.446
