R,ClPr,OPEN,pre_HIGH,pre_LOW,prev_VOLUME,2dayprice_change,SMA5,SMA10,SMA20
0,171.74,172.2,172.74,171.45,1756890,1.01,172.906,175.397,176.802
0,172.77,172.54,173.19,171.59,2595787,-0.69,172.044,174.911,176.4685
0,172.5,173.56,173.29,172.1453,1483189,0.14,172.238,174.305,176.203
0,173.49,172.21,173.77,172.275,1677696,0.76,172.414,173.591,175.882
0,172.25,172.08,173.99,172.21,945845,0.72,172.626,173.091,175.619
0,171.91,171.67,172.75,171.76,1477958,-0.25,172.55,172.728,175.2715
0,171.52,171.42,172.08,171.28,1553303,-1.58,172.584,172.314,174.9455
0,172.96,172.51,171.98,170.72,1993936,-0.73,172.334,172.286,174.589
0,172.77,172.01,173.28,172.29,1711068,1.05,172.426,172.42,174.329
0,172.01,173.13,173.25,172.01,1783744,1.25,172.282,172.454,174.095
0,174.24,173.16,173.23,171.57,2022623,-0.95,172.234,172.392,173.8945
0,172.91,175.23,174.25,171.91,2177504,1.47,172.7,172.642,173.7765
0,175.08,174.05,175.51,171.9,2607032,0.9,172.978,172.656,173.4805
0,174.28,170.16,175.13,173.73,1868162,0.84,173.402,172.914,173.2525
0,170.39,165.84,174.67,169.79,3280034,1.37,173.704,172.993,173.042
0,171.03,169.9,171,165.84,3659314,-4.69,173.38,172.807,172.7675
0,169.74,168.15,172.05,169.78,1956187,-3.25,172.738,172.719,172.5165
0,166.48,167.21,169.89,167.9795,1930929,-0.65,172.104,172.541,172.4135
0,166.83,166.14,167.8501,166.42,1927527,-4.55,170.384,171.893,172.1565
0,165.73,164.7,167.64,165.26,2504984,-2.91,168.894,171.299,171.8765
0,164.25,165.4,166.37,163.91,2233414,-0.75,167.962,170.671,171.5315
0,165.3,166.46,165.81,163.85,2455784,-2.58,166.606,169.672,171.157
0,165.77,166.55,166.54,165.18,2289132,-0.43,165.718,168.911,170.7835
0,165.76,166.87,167.18,165.14,1934281,1.52,165.576,167.98,170.447
0,166.51,165.69,166.95,165.28,1486376,0.46,165.362,167.128,170.0605
0,166.23,169.47,167.79,165.41,2174852,0.74,165.518,166.74,169.7735
0,171.27,172.65,169.89,165.11,3826056,0.47,165.914,166.26,169.4895
0,169.5,168.11,173.4355,170.9,2668093,4.76,167.108,166.413,169.477
0,169.86,169.57,169.56,167.72,2013555,3.27,167.854,166.715,169.304
0,169.91,170.8,170.34,168.99,1210539,-1.41,168.674,167.018,169.1585
0,169.95,171.68,170.94,169.66,1164213,0.41,169.354,167.436,169.0535
0,170.21,170.54,171.91,169.84,1185565,0.09,170.098,168.006,168.839
0,170.33,170.99,171.09,169.94,1229184,0.3,169.886,168.497,168.704
0,170.02,168.87,171.39,170.3,1512366,0.38,170.052,168.953,168.4665
0,169.72,169.6,170.31,168.46,1919715,-0.19,170.084,169.379,168.2535
0,169.68,170.24,170.18,168.89,1554146,-0.61,170.046,169.7,168.22
0,171.14,171.84,170.47,168.69,1998576,-0.34,169.992,170.045,168.1525
0,171.33,171.9,172.7497,170.94,1936639,1.42,170.178,170.032,168.2225
0,171.64,171.93,171.94,170.041,2249588,1.65,170.378,170.215,168.465
0,172.39,171.66,172.32,170.6011,2273400,0.5,170.702,170.393,168.7055
0,171.68,174.59,172.56,171.34,2305546,1.06,171.236,170.641,169.0385
0,175.04,175.33,174.97,171.2,3166931,0.04,171.636,170.814,169.41
0,176.23,176.58,175.95,174.4,1785551,2.65,172.416,171.297,169.897
0,175.37,177.478,177.15,176.09,2419430,4.55,173.396,171.887,170.42
0,177.59,176.78,177.63,174.87,1853613,0.33,174.142,172.422,170.9005
0,176.3,175.61,177.98,176.69,1693951,1.36,175.182,173.209,171.4545
0,175.95,176.85,177.03,175.5801,2433570,0.93,176.106,173.871,171.958
0,177.39,179.4,176.91,175.8,1820997,-1.64,176.288,174.352,172.192
0,179.85,179.83,179.7,177.19,1910978,1.09,176.52,174.958,172.5865
0,179.59,177.88,181.66,179.65,1849004,3.9,177.416,175.779,173.086
0,177.6,177.71,179.8,177.5,1759977,2.2,177.816,176.499,173.57
0,176.72,176.05,178.4997,177.33,1598552,-2.25,178.076,177.091,173.9525
0,175.06,175.88,177.95,176.05,1754929,-2.87,178.23,177.259,174.278
0,176.59,175.53,175.95,174.385,3358842,-2.54,177.764,177.142,174.5145
0,175.62,175.96,177,175.36,1683788,-0.13,177.112,177.264,174.843
0,176.07,176.83,177.35,175.2,1864794,0.56,176.318,177.067,175.138
0,178.1,175,177.6,175.95,1864569,-0.52,176.012,177.044,175.4575
0,175.64,178.89,178.4,174.686,1913291,2.48,176.288,177.259,175.8055
0,180.1,179.19,179,175.64,2083300,-0.43,176.404,177.084,176.021
0,179.75,180.04,180.21,178.94,1423980,2,177.106,177.109,176.444
0,180.46,180.56,180.54,179.5401,1133540,4.11,177.932,177.125,176.812
0,180.81,180.53,181.28,179.88,1328106,0.36,178.81,177.411,177.251
0,179.98,179.31,181.49,180.09,1319039,1.06,179.352,177.82,177.5395
