R,?????(?)_Highpr,?????(?)_Lowpr,???????(?)_TVolume_accu1
1,17.82,17.71,399134
0,17.87,17.71,277169
1,17.9,17.83,179431
1,17.86,17.8,204678
0,17.81,17.75,171048
0,17.84,17.73,306605
1,17.82,17.75,122215
0,17.81,17.75,256213
0,17.82,17.8,100441
0,17.81,17.8,486109
1,17.81,17.75,198356
0,17.8,17.76,144970
1,17.8,17.78,90220
0,17.8,17.78,59866
0,17.79,17.71,85320
0,17.76,17.73,33961
0,17.82,17.75,200324
1,17.81,17.75,87470
0,17.81,17.76,69555
0,17.79,17.74,68675
0,17.81,17.74,193720
1,17.81,17.74,69694
0,17.8,17.74,239425
0,17.8,17.73,359812
0,17.74,17.74,1000
1,17.8,17.74,222390
1,17.81,17.76,58250
0,17.8,17.74,148136
1,17.81,17.75,58050
1,17.81,17.7,290066
0,17.7,17.57,205234
0,17.59,17.54,177100
1,17.6,17.54,92870
1,17.64,17.6,31880
1,17.65,17.56,360625
0,17.64,17.59,23425
0,17.6,17.54,310216
0,17.57,17.51,65683
0,17.57,17.49,129241
0,17.52,17.48,70803
1,17.59,17.49,137035
1,17.55,17.48,400575
0,17.53,17.46,808687
1,17.53,17.45,216003
0,17.53,17.5,123714
1,17.53,17.46,340204
0,17.54,17.5,134940
1,17.55,17.48,193210
0,17.53,17.45,143570
0,17.46,17.45,1500
0,17.4,17.4,6400
0,17.53,17.4,95767
1,17.51,17.43,177205
1,17.51,17.33,397600
0,17.48,17.4,190898
1,17.5,17.43,187557
0,17.5,17.42,166444
1,17.49,17.43,246169
0,17.46,17.41,160408
0,17.46,17.4,135448
0,17.4,17.34,178213
0,17.35,17.2,296081
0,17.21,17.11,211700
0,17.19,17.11,267900
0,17.15,16.95,520869
0,17.02,16.85,410835
0,17.19,16.9,301154
1,17.18,16.94,512066
1,17.21,17.02,245699
0,17.16,17.01,157725
0,17.08,17,383584
1,17.12,16.95,1088628
0,17.13,17,541272
1,17.14,17.03,253881
0,17.1,17,339821
1,17.1,17.1,0
0,17.11,17.01,117589
0,17.1,17.01,146900
1,17.07,17.02,95500
0,17.08,17.02,97401
1,17.11,17.07,145114
1,17.12,17.07,114878
0,17.1,17.02,110397
0,17.09,17.02,147241
1,17.08,17.03,89325
0,17.07,17.02,95118
0,17.07,16.93,503726
0,17.1,16.96,280569
1,17.13,16.9,615412
0,17,16.9,260242
0,16.99,16.9,248422
1,16.93,16.7,693771
0,16.78,16.6,526182
0,16.73,16.6,605174
1,16.79,16.6,629927
0,16.7,16.63,182607
1,16.7,16.5,642598
0,16.6,16.49,304300
1,16.59,16.49,455600
0,16.68,16.5,783700
0,16.58,16.48,12200
0,16.46,16.46,28300
0,16.57,16.44,202001
1,16.65,16.52,125795
1,16.65,16.55,137446
1,16.65,16.58,180600
0,16.75,16.56,137297
1,16.75,16.65,133394
1,16.77,16.67,128387
0,16.75,16.7,58419
1,16.77,16.69,196240
0,16.76,16.67,86300
1,16.74,16.7,117557
0,16.76,16.66,136100
0,16.8,16.69,182854
1,16.78,16.71,38120
0,16.75,16.7,74044
0,16.75,16.7,46900
0,16.75,16.7,54133
1,16.75,16.69,45128
0,16.75,16.69,29182
1,16.75,16.7,23343
0,16.74,16.67,73347
0,16.7,16.63,55773
1,16.7,16.55,252300
0,16.68,16.6,17348
0,16.65,16.65,0
1,16.7,16.65,42964
1,16.7,16.65,26321
0,16.72,16.6,31154
1,16.71,16.6,52700
0,16.69,16.58,82232
0,16.69,16.59,138900
0,16.64,16.54,215683
0,16.54,16.4,410300
0,16.56,16.39,271217
1,16.61,16.45,264169
1,16.62,16.5,83887
0,16.59,16.51,151582
1,16.58,16.52,120642
0,16.54,16.51,141647
0,16.62,16.52,450050
1,16.73,16.54,836663
1,16.75,16.62,410807
0,16.75,16.68,382749
1,16.74,16.7,130495
0,16.75,16.69,463398
0,16.69,16.58,216698
0,16.64,16.56,177447
0,16.71,16.6,68713
1,16.77,16.66,450873
1,16.73,16.73,300
0,16.72,16.62,70573
0,16.65,16.51,109901
0,16.56,16.48,74841
0,16.69,16.51,96603
1,16.68,16.59,112962
1,16.65,16.5,106522
0,16.61,16.5,151034
1,16.64,16.57,174442
0,16.58,16.54,228683
0,16.73,16.55,603337
1,16.7,16.65,353351
0,16.71,16.61,279941
1,16.95,16.73,958860
1,17,16.89,681067
1,17.08,16.95,390154
1,17.1,16.99,290863
0,17.1,17,322721
1,17.05,16.95,157279
0,17.15,16.96,462398
1,17.16,17.11,237455
0,17.22,17.1,709881
0,17.1,17,192312
0,17.04,17,57766
1,17.03,16.96,124159
0,17.05,16.98,203148
0,17,16.94,260918
0,17.01,16.94,294531
1,17.01,16.94,143798
0,16.95,16.93,124679
1,17.02,16.93,233010
1,17.06,17,256598
0,17.02,17,114345
1,17.05,17.02,158257
1,17.05,17.01,212705
0,17.09,17,273898
1,17.09,17.05,120278
0,17.07,17.03,163010
1,17.12,17.05,333761
1,17.17,17.11,373837
1,17.14,17.05,203049
0,17.1,17.05,140326
1,17.12,17.1,136990
1,17.18,17.11,311339
1,17.2,17.15,306466
1,17.3,17.18,322892
1,17.29,17.2,147783
0,17.26,17.2,124967
1,17.28,17.21,170259
1,17.28,17.27,2200
1,17.4,17.4,82000
0,17.6,17.35,956267
1,17.85,17.55,1079130
1,17.84,17.65,695836
1,17.73,17.68,522080
0,17.71,17.66,444191
1,17.71,17.68,518860
0,17.8,17.69,524476
1,17.79,17.71,430249
0,17.73,17.6,723945
0,17.67,17.6,163202
1,17.66,17.61,227189
1,17.68,17.63,168035
0,17.68,17.65,95415
1,17.72,17.66,333731
1,17.73,17.66,165580
0,17.76,17.64,391014
1,17.75,17.64,317625
0,17.75,17.61,394599
1,17.76,17.72,228142
1,17.79,17.67,297098
1,17.95,17.79,643171
1,17.96,17.9,305391
1,18.02,17.94,646115
1,17.98,17.92,145650
0,17.94,17.94,100
1,18,17.94,558225
0,17.98,17.94,78863
