P,?????(?)_Highpr,?????(?)_Lowpr,???????(?)_TVolume_accu1
17.75,17.75,17.75,39631
17.82,17.82,17.71,399134
17.71,17.87,17.71,277169
17.83,17.9,17.83,179431
17.84,17.86,17.8,204678
17.8,17.81,17.75,171048
17.8,17.84,17.73,306605
17.81,17.82,17.75,122215
17.8,17.81,17.75,256213
17.8,17.82,17.8,100441
17.8,17.81,17.8,486109
17.81,17.81,17.75,198356
17.77,17.8,17.76,144970
17.8,17.8,17.78,90220
17.8,17.8,17.78,59866
17.79,17.79,17.71,85320
17.76,17.76,17.73,33961
17.75,17.82,17.75,200324
17.81,17.81,17.75,87470
17.8,17.81,17.76,69555
17.79,17.79,17.74,68675
17.74,17.81,17.74,193720
17.81,17.81,17.74,69694
17.74,17.8,17.74,239425
17.74,17.8,17.73,359812
17.74,17.74,17.74,1000
17.78,17.8,17.74,222390
17.8,17.81,17.76,58250
17.76,17.8,17.74,148136
17.8,17.81,17.75,58050
17.81,17.81,17.7,290066
17.7,17.7,17.57,205234
17.57,17.59,17.54,177100
17.59,17.6,17.54,92870
17.6,17.64,17.6,31880
17.64,17.65,17.56,360625
17.6,17.64,17.59,23425
17.58,17.6,17.54,310216
17.57,17.57,17.51,65683
17.57,17.57,17.49,129241
17.48,17.52,17.48,70803
17.51,17.59,17.49,137035
17.52,17.55,17.48,400575
17.5,17.53,17.46,808687
17.51,17.53,17.45,216003
17.5,17.53,17.5,123714
17.52,17.53,17.46,340204
17.5,17.54,17.5,134940
17.51,17.55,17.48,193210
17.5,17.53,17.45,143570
17.45,17.46,17.45,1500
17.4,17.4,17.4,6400
17.4,17.53,17.4,95767
17.46,17.51,17.43,177205
17.48,17.51,17.33,397600
17.4,17.48,17.4,190898
17.45,17.5,17.43,187557
17.43,17.5,17.42,166444
17.48,17.49,17.43,246169
17.44,17.46,17.41,160408
17.44,17.46,17.4,135448
17.4,17.4,17.34,178213
17.35,17.35,17.2,296081
17.2,17.21,17.11,211700
17.19,17.19,17.11,267900
17.15,17.15,16.95,520869
17,17.02,16.85,410835
16.94,17.19,16.9,301154
17.01,17.18,16.94,512066
17.17,17.21,17.02,245699
17.15,17.16,17.01,157725
17.04,17.08,17,383584
17.06,17.12,16.95,1088628
17,17.13,17,541272
17.14,17.14,17.03,253881
17.04,17.1,17,339821
17.1,17.1,17.1,0
17.1,17.11,17.01,117589
17.01,17.1,17.01,146900
17.05,17.07,17.02,95500
17.03,17.08,17.02,97401
17.07,17.11,17.07,145114
17.1,17.12,17.07,114878
17.07,17.1,17.02,110397
17.03,17.09,17.02,147241
17.08,17.08,17.03,89325
17.06,17.07,17.02,95118
17.03,17.07,16.93,503726
16.96,17.1,16.96,280569
17.1,17.13,16.9,615412
16.91,17,16.9,260242
16.9,16.99,16.9,248422
16.93,16.93,16.7,693771
16.7,16.78,16.6,526182
16.68,16.73,16.6,605174
16.73,16.79,16.6,629927
16.67,16.7,16.63,182607
16.7,16.7,16.5,642598
16.5,16.6,16.49,304300
16.55,16.59,16.49,455600
16.51,16.68,16.5,783700
16.48,16.58,16.48,12200
16.46,16.46,16.46,28300
16.44,16.57,16.44,202001
16.53,16.65,16.52,125795
16.59,16.65,16.55,137446
16.64,16.65,16.58,180600
16.58,16.75,16.56,137297
16.65,16.75,16.65,133394
16.73,16.77,16.67,128387
16.7,16.75,16.7,58419
16.72,16.77,16.69,196240
16.72,16.76,16.67,86300
16.73,16.74,16.7,117557
16.71,16.76,16.66,136100
16.69,16.8,16.69,182854
16.78,16.78,16.71,38120
16.75,16.75,16.7,74044
16.75,16.75,16.7,46900
16.7,16.75,16.7,54133
16.71,16.75,16.69,45128
16.7,16.75,16.69,29182
16.75,16.75,16.7,23343
16.71,16.74,16.67,73347
16.67,16.7,16.63,55773
16.7,16.7,16.55,252300
16.67,16.68,16.6,17348
16.65,16.65,16.65,0
16.67,16.7,16.65,42964
16.68,16.7,16.65,26321
16.68,16.72,16.6,31154
16.7,16.71,16.6,52700
16.69,16.69,16.58,82232
16.68,16.69,16.59,138900
16.59,16.64,16.54,215683
16.53,16.54,16.4,410300
16.39,16.56,16.39,271217
16.5,16.61,16.45,264169
16.6,16.62,16.5,83887
16.52,16.59,16.51,151582
16.58,16.58,16.52,120642
16.53,16.54,16.51,141647
16.52,16.62,16.52,450050
16.58,16.73,16.54,836663
16.7,16.75,16.62,410807
16.68,16.75,16.68,382749
16.72,16.74,16.7,130495
16.72,16.75,16.69,463398
16.69,16.69,16.58,216698
16.63,16.64,16.56,177447
16.6,16.71,16.6,68713
16.71,16.77,16.66,450873
16.73,16.73,16.73,300
16.7,16.72,16.62,70573
16.63,16.65,16.51,109901
16.51,16.56,16.48,74841
16.51,16.69,16.51,96603
16.59,16.68,16.59,112962
16.6,16.65,16.5,106522
16.56,16.61,16.5,151034
16.6,16.64,16.57,174442
16.57,16.58,16.54,228683
16.56,16.73,16.55,603337
16.66,16.7,16.65,353351
16.66,16.71,16.61,279941
16.73,16.95,16.73,958860
16.9,17,16.89,681067
16.99,17.08,16.95,390154
17.02,17.1,16.99,290863
17,17.1,17,322721
17.04,17.05,16.95,157279
16.96,17.15,16.96,462398
17.15,17.16,17.11,237455
17.15,17.22,17.1,709881
17.1,17.1,17,192312
